type,query,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,text
Tweet,#texas,southboundcine,2111,2040,39,15761,southboundcine,23750,21888,3834,792620,Hard cut transition from KC and the Sunshine Band to Alice Cooper. The 70's will never die. #DJ #Disco #Metal #Texas https://t.co/S6uEEiTAtM
Tweet,#texas,CGTNOfficial,13661729,69,7990,159795,CGTNOfficial,23750,21888,3834,792620,A total of 3.4 million people in 204 counties in the U.S. state of #Texas are still facing disruptions in water ser… https://t.co/izMuusng2j
RT,#texas,VisitTyler,6140,1394,90,6020,JMichael_Smith,3745,4990,259,42688,"RT @JMichael_Smith: Come @VisitTyler #Texas , you’ll want to stay awhile! https://t.co/DEd47KJh4t"
Tweet,#texas,bikevato,616,483,20,4477,bikevato,3745,4990,259,42688,The @_SCHSSoftball senior banners. #juandeleoncreative #softball #highschool #texas #humble #sportsphotographer… https://t.co/IDqRqEv8wx
RT,#texas,PH1Losophical,422,500,24,70205,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,ChrisDDow,113,554,6,29955,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
Tweet,#texas,jamaalaldin_tv,10228,1096,9,188333,jamaalaldin_tv,47833,1148,1486,33910,KD Chili' NBA Leader: 29.5 PPG 227's YouTube Chili' Kevin Chili' Durant 29.5 PPG 7.4 RPG #BrooklynTogether Spicy'… https://t.co/9e6wlzufgP
RT,#texas,huggins_smith,655,1830,0,2888,themattwalton,6320,6019,112,31210,"RT @themattwalton: Just so we’re clear, this week alone, #FederalRegulations saved the life of every passenger on board #United328 &amp; #Tiger…"
Tweet,#texas,Chinane76080832,17,480,0,840,Chinane76080832,6320,6019,112,31210,China news | Biden is about to travel to Texas for an icy disaster asses... https://t.co/fQbVpA62wN via @YouTube… https://t.co/eU6kKNNKfZ
Tweet,#texas,RightRedReturn,2201,3713,10,25455,RightRedReturn,6320,6019,112,31210,Ds think they’re gonna run it on a #shadowgovernent for as long as they can - I just don’t see it. Who is in #Texas ? #whoisincharge
RT,#texas,RoozbehRassadi,1,2,0,106,Betlifesports,2906,1340,37,25903,"RT @Betlifesports: BOOOOOOOOOOOOOOOOOOOOM!!! 

1u TEXAS 2H -5 WINNER WINNER 💰

2u TEXAS -3 PUSH

2u KINGS/NETS O 242 WINNER 💰

2u LAZ/BAYER…"
RT,#texas,Hornsaccess,65,347,0,1244,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,Sam1,987,880,99,127377,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
Tweet,#texas,PhotoTelegram,384,416,155,43409,PhotoTelegram,47833,1148,1486,33910,"#ERCOT board members resign after deadly #PowerOutage in #Texas, reports Karen Graham. https://t.co/oVjF9Ep5JP"
RT,#texas,JoAnnMom2,1779,2475,4,92247,JillWineBanks,519516,434,2340,23512,RT @JillWineBanks: Beto O'Rourke FULL Interview: What is Going On in Texas?  https://t.co/EyGmh804kX  Our Episode with Beto is Now Live! #I…
RT,#texas,RaisnCurns,754,1893,1,57189,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,Brave93USA,131,513,3,9996,TexasOU812,1227,745,0,1465,RT @TexasOU812: 💥Biden's Head of Dept of Energy demanded #Texas energy grid operator #ERCOT stay w/i green energy standards &amp; made them PUR…
Tweet,#texas,solarbyjake,18,484,0,38,solarbyjake,1227,745,0,1465,"https://t.co/JRvIl5ytp9 
#SOLAR #solarenergy #solarpower #solarhome #SolarSystem #gosolar #GoGreen… https://t.co/pzCxlfee8H"
Tweet,#texas,CEDRdigital,8333,970,247,30988,CEDRdigital,1227,745,0,1465,"Do you know of anyone who is struggling to recover after the #IceStorm2021?
We can all help survivors of traumatic… https://t.co/yKiGZtF4w9"
Tweet,#texas,ankilshah_,23,50,1,2860,ankilshah_,1227,745,0,1465,@StarSportsIndia 2:00 am here! #Texas #UnitedStates https://t.co/kmzooe78DY
RT,#texas,chrisgb002000,3582,4524,25,164897,ChipBrown247,47833,1148,1486,33910,RT @ChipBrown247: #Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
Tweet,#texas,Noticias_JRmz,332,2183,4,13276,Noticias_JRmz,47833,1148,1486,33910,"El Bitcoin 💰 se Desploma ⤵️.
https://t.co/Atw1bmGmym
#presidente #GobernadorDePalacioNacional  #eeuu #USA… https://t.co/hMTOOoGriP"
Tweet,#texas,lua21,239,1888,1,885,lua21,47833,1148,1486,33910,Restaurant workers in #Texas are now facing more lost income due to the governments complete failure to provide any… https://t.co/cT3VQI3lW4
RT,#texas,P33ZYF09,285,342,0,6910,Betlifesports,2906,1340,37,25903,"RT @Betlifesports: BOOOOOOOOOOOOOOOOOOOOM!!! 

1u TEXAS 2H -5 WINNER WINNER 💰

2u TEXAS -3 PUSH

2u KINGS/NETS O 242 WINNER 💰

2u LAZ/BAYER…"
Tweet,#texas,Betlifesports,2906,1340,37,25903,Betlifesports,2906,1340,37,25903,"BOOOOOOOOOOOOOOOOOOOOM!!! 

1u TEXAS 2H -5 WINNER WINNER 💰

2u TEXAS -3 PUSH

2u KINGS/NETS O 242 WINNER 💰

2u LAZ/… https://t.co/896uT2WkjM"
Tweet,#texas,ChipBrown247,47833,1148,1486,33910,ChipBrown247,2906,1340,37,25903,#Texas becomes first team to sweep #KU in the Bill Self era ... as #Longhorns win 75-72 in OT.
RT,#texas,MomoFarrar,329,817,25,4154,KVUE,222856,1190,2520,248871,RT @KVUE: .@austinpetsalive is working with other animal shelters across the country to rescue pets affected by the winter storms in #Texas…
RT,#texas,Caracas1998,189,1037,0,2553,AncientEgypt22,2191,0,30,388,"RT @AncientEgypt22: Tomb of Tut Ankh Amun 👑

No: 62 | Valley of the Kings, Luxor, Egypt 🇪🇬

#egypt #ancientegypt #archaeology #egyptology #…"
Tweet,#texas,MarkHespen,361,1499,6,6104,MarkHespen,2191,0,30,388,#texas is back
Tweet,#texas,TravisFuguet,1173,2080,25,26689,TravisFuguet,2191,0,30,388,#14 #Texas beats #17 #Kansas 75-72 in OT for the season sweep #KUvsTEX
Tweet,#texas,ETHrWorld,2233,4324,7,5874,ETHrWorld,2191,0,30,388,Top board leaders resign after deadly Texas power outages #PowerOutrage #Texas #Resignation #SallyTalberg… https://t.co/bu4JPjEM5P
Tweet,#texas,NYCKING,4491,3776,209,642367,NYCKING,2191,0,30,388,#Texas 75 #KUBBALL 72 Final https://t.co/ArlCz2fP9l
Tweet,#texas,OrAroundTen,467,587,30,94493,OrAroundTen,2191,0,30,388,"The green new deal strikes again.
#Texas https://t.co/pTL5VJylIp"
Tweet,#texas,SpatiDube,264,248,1,9272,SpatiDube,2191,0,30,388,#Texas https://t.co/57RCzjouWV
Tweet,#texas,MisbarUS,4089,53,5,1158,MisbarUS,2191,0,30,388,"#FakeNews
President #JoeBiden has said nothing about and done nothing in response to the #Texas power outages.
Here… https://t.co/HVDyawgviG"
RT,#texas,nataliie_o,404,379,2,9978,gnugut13,764,876,0,10289,RT @gnugut13: Every once in a while this picture needs to be posted. The girl in the picture opened her coat after @SenTedCruz  put his arm…
RT,#texas,SusanneLeist,52276,23554,1598,1104121,ArtisticParley,15772,13378,2201,505226,RT @ArtisticParley: A Companion At Sunrise #Geese #CaptainsCove #Photography #DianaMarySharpton #Ducks #Garland #Texas https://t.co/QZqWOMB…
RT,#texas,Chavaranks_,292,411,2,7400,AnaBananut,312,1096,8,9814,RT @AnaBananut: Dallas please help find Amy Hernandez #dallas #texas https://t.co/lH6BJ8mMc3
RT,#texas,freeagentglobal,15376,8808,79,40437,freeagentglobal,15376,8808,79,40437,"RT @freeagentglobal: Would you do this as a business owner? 💕🙏

Customers Say Texas Grocery Store Let Them Take Items For Free During Snows…"
Tweet,#texas,jaricadavis,3037,4998,90,71198,jaricadavis,15376,8808,79,40437,"@Amy_Siskind @CheriJacobus Me &amp; my hubs, back in the 80s. 
#Texas #mullet https://t.co/m3Z4BarRlm"
RT,#texas,nlbeautiful,39,298,0,330,NEAnimalShelter,3552,120,62,2664,"RT @NEAnimalShelter: It's important to check in with your friends while on a lifesaving journey! Our fleet is en route to Texas, and while…"
Tweet,#texas,kevin22262,423,1258,17,28567,kevin22262,3552,120,62,2664,Big #Texas Corporations Demand #Storm Survivors Go Without Pay https://t.co/QB5dRW5mgc via @YahooNews
RT,#texas,SEALMacsgirl,957,207,5,315985,RowdyGirlRanch,5381,4783,63,3867,"RT @RowdyGirlRanch: Roo and Roux enjoying the calm after the storm.
#animalrescue #cuteanimals #Texas #animals https://t.co/la0qhGm6qG"
RT,#texas,benchillin05,689,1436,12,24446,HTX_Seen_By_Me,317,363,3,1283,"RT @HTX_Seen_By_Me: A few shots from the Coogs 12-8 victory over a&amp;m cc, 02/23/21.
#GoCoogs #M64 #AmericanBSB #Houston #Texas #Baseball #Sp…"
RT,#texas,nlbeautiful,39,298,0,330,NEAnimalShelter,3552,120,62,2664,RT @NEAnimalShelter: We just want to take a road trip with YOU! @MspcaAngell ❤️🚐. #TexasFreeze #Texas https://t.co/CC6WME1cOq
Tweet,#texas,ChoyceWashingt1,0,38,0,1,ChoyceWashingt1,3552,120,62,2664,"Choyce Washington #20
Tomball memorial #Texas #Baylor #UniversityofHouston #Gramblimg #southern #Prarieview #Xavier… https://t.co/Y2pVz45QCY"
RT,#texas,45isalier,1081,4116,0,118430,BErickson_BIO,1208,2134,96,66085,RT @BErickson_BIO: @SawyerHackett I am old enough to remember when another #Texas politicion- House Speaker Jim Wright had to resign over b…
RT,#texas,BMT8291,248,1907,2,77443,BErickson_BIO,1208,2134,96,66085,RT @BErickson_BIO: @SawyerHackett I am old enough to remember when another #Texas politicion- House Speaker Jim Wright had to resign over b…
RT,#texas,LoriSums,6924,6661,197,558659,talkgaystuff,442,787,9,2503,"RT @talkgaystuff: Thankfully our crew is back with lights, water, &amp; good spirits! Wishing our #Texas friends continued strength as they pow…"
RT,#texas,FQgrl,851,1005,0,42773,Goldstatetimes,10609,232,91,27607,"RT @Goldstatetimes: Border Patrol foils multiple human smuggling operations in #Texas!
News Report coming soon you can read it here: https:…"
Tweet,#texas,theRealStabler,231,556,3,5946,theRealStabler,10609,232,91,27607,Jalen Wilson with the good look layup in overtime and he loses the ball. Man I feel for these kids. #espn #kansas #texas #overtime
RT,#texas,EarthAccounting,23690,21539,521,146159,EarthAccounting,23690,21539,521,146159,RT @EarthAccounting: #Texas to Add 35 Gigawatts of #Wind  https://t.co/6LABDY3QlK https://t.co/XSvJsSQpmh
RT,#texas,zhari3_,787,2838,5,72033,JAZonyaMINE,3255,998,72,26609,"RT @JAZonyaMINE: Everything happening in #Texas literally happened in #Jackson bc Entergy is a regional energy provider, y’all. They threat…"
Tweet,#texas,GaryJ229,114,202,8,2954,GaryJ229,3255,998,72,26609,College Free Throws 🤬🤬 #Texas
RT,#texas,DolphinPaige,18527,17677,372,167073,IDAUSA,23002,1640,350,10445,"RT @IDAUSA: As #Texas continues to suffer from a historic winter storm, volunteers are working hard to rescue cold stunned #SeaTurtles, who…"
Tweet,#texas,robertsranduks,915,2254,4,9982,robertsranduks,23002,1640,350,10445,@dect1608 @fgcabezadevaca @lopezobrador_ Jamás a violentado la ley en #Mexico pero en #Texas ... aquellos años mozo… https://t.co/PEbF9RuoHS
Tweet,#texas,Juanm06221,23,154,0,551,Juanm06221,23002,1640,350,10445,@LetyMaldoSa Biden se adueño de las vacunas que compro mexico. #texas cerro la llave gas afectando los estados del… https://t.co/vQpeDTHfBn
Tweet,#texas,ShawnHades,2584,2589,27,13477,ShawnHades,23002,1640,350,10445,Just going to remind everyone AGAIN that the comrade Google Document to boost others is available. In addition to i… https://t.co/TTUAqOS27B
RT,#texas,DolphinPaige,18527,17677,372,167073,IDAUSA,23002,1640,350,10445,"RT @IDAUSA: Our hearts go out to the hundreds of #animals &amp; staff @primate_refuge in #Texas, which lost power &amp; water on Monday. They’re st…"
RT,#texas,AngelofDubai,102,256,0,35081,itsJohnWalsh,2817,894,12,11612,RT @itsJohnWalsh: #TedCruz went to #Cancun to bring back supplies... I mean souvenirs for the people of #Texas 😅❄️ #TedFled #FlyingTed #Ted…
Tweet,#texas,NewYorkWander,23,573,0,1001,NewYorkWander,2817,894,12,11612,"@joekernan is such a clown and not because he has the most obvious fucking wig on television. #cnbc #texas 
https://t.co/vmey873lzS"
RT,#texas,WSU_Noel_Schulz,4053,1909,86,23812,Alekhya_Datta,1079,5002,20,23410,"RT @Alekhya_Datta: .@bradj_TX from @TheTexanNews will deliver a virtual talk on recent issues in #Texas power grid, today evening at IST 7p…"
Tweet,#texas,KanadaBanda,99,57,3,424,KanadaBanda,1079,5002,20,23410,"Ki szeretne egy mély levegőt venni? Ne aggódj, hamarosan te is ezt szagolhatod!
https://t.co/k6w4V0otHJ
Ne feledjét… https://t.co/jEl59OMkw0"
RT,#texas,JamesJava,13723,14910,2993,569861,BourbonHouse_,6479,5584,44,3923,"RT @BourbonHouse_: Happy Tuesday, Bourbonites! We have one show this Saturday at The Speakeasy in Schofield before we hit the road! Can’t w…"
RT,#texas,duende4620155,556,1567,0,14747,loba_indomable,24918,316,117,74705,"RT @loba_indomable: #Matamoros #Tamaulipas
Angel Arvizu, traficante de indocumentados, detenido en Mayo del 2019 por agentes de Inmigración…"
Tweet,#texas,SolidarityINFOS,17,40,1,917,SolidarityINFOS,24918,316,117,74705,#GOP wants all of #USA to enjoy benefits of #Texas your-on-your-own #deregulation when what we need is a… https://t.co/DSFBbLrnPK
RT,#texas,SurfsUpBodhi,11104,10626,3,54501,JillWineBanks,519516,434,2340,23512,RT @JillWineBanks: Beto O'Rourke FULL Interview: What is Going On in Texas?  https://t.co/EyGmh804kX  Our Episode with Beto is Now Live! #I…
Tweet,#texas,robertsranduks,915,2254,4,9982,robertsranduks,519516,434,2340,23512,@SenadoresdelPAN @MonMaron @fgcabezadevaca El nunca a violentado la ley solo cuando anda abriendo carros que no era… https://t.co/TfTIWcO4vf
Tweet,#texas,TexDotOrg,529,843,8,7566,TexDotOrg,519516,434,2340,23512,https://t.co/yL3labUD3w #texas #Dallas #austin #houston
RT,#texas,aelampkin,11689,8077,31,200519,CEDRdigital,8333,970,247,30988,"RT @CEDRdigital: #Texas residents, do you need help removing some of the debris from the home or property damage you sustained during the…"
Tweet,#texas,cwazyferraridr1,53,256,0,972,cwazyferraridr1,8333,970,247,30988,#Texas #Houston stop voting for this un-America oxygen thief @SenTedCruz @tedcruz @heidicruz doesn’t deserve to be… https://t.co/WtC6ozvZ5U
Tweet,#texas,HTX_Seen_By_Me,317,363,3,1283,HTX_Seen_By_Me,8333,970,247,30988,"A few shots from the Coogs 12-8 victory over a&amp;m cc, 02/23/21.
#GoCoogs #M64 #AmericanBSB #Houston #Texas #Baseball… https://t.co/RUtysIl2rd"
RT,#texas,EaberingEdgar,656,1441,18,32869,JohnRMoffitt,105239,107682,974,143815,RT @JohnRMoffitt: @misosusanowa @TallDavid @JMPeck69 @republicatrisk @poppy_northcutt @denyf8 @TTDerandere @gbarnstone @rlloveall @jon_leba…
Tweet,#texas,ADOGELAD,0,3,0,133,ADOGELAD,105239,107682,974,143815,@tedcruz #CruzIsADisgrace #texas you deserve better than a few water bottles from a wealthy fat man.
RT,#texas,Chuck_Thompson_,1552,47,195,86972,RockSoundRum,364,600,6,134,"RT @RockSoundRum: “No place like Texas would I ever roam. No place like Texas, my home, sweet home.” – Willie Nelson

#texas #big #rum http…"
Tweet,#texas,Winz01D,23,514,0,249,Winz01D,364,600,6,134,#AOC #Texas https://t.co/hzEFA36OoV
RT,#texas,yopomix,332,317,7,46628,_VicenteSerrano,350627,1013,513,114623,"RT @_VicenteSerrano: Y mire, hasta el @nytimes dice que crisis energética de #Texas es apenas el principio, que vienen más… Pero en México,…"
Tweet,#texas,Justice4Kamren,634,1800,5,321,Justice4Kamren,350627,1013,513,114623,Thank God for hard working law enforcement and the loose lips of those not cut out to be criminals. We pray that th… https://t.co/yct0Yftka1
RT,#texas,kmgkmgkmgkmg,2900,2835,1,44793,Strange_Sounds,9446,2227,142,11128,RT @Strange_Sounds: Massive explosion in Texas after train carrying fuel collides with 18-wheeler (video) #explosion #Texas #train #video…
RT,#texas,DHSRedSea,727,199,1,1426,iiam_bonds,11,13,0,7,"RT @iiam_bonds: DULLES LADY VIKINGS 
@faith_theonly1 @BriceUvaldi
@MaurdaishaP1

#Texas #TexasBasketbal #TexasHighSchoolBasketbal #TexasLad…"
Tweet,#texas,lucywearsfur,249,544,1,4070,lucywearsfur,11,13,0,7,@GovAbbott #AbbottFailedTexas #ResignAbbott #texas
Tweet,#texas,GreenGoalNow,23,18,0,3241,GreenGoalNow,11,13,0,7,"Complete absurd. 🙏
#Texas ⚡

***

His Lights Stayed on During Texas’ Storm. Now He Owes $16,752. 

https://t.co/3Lj2QGdXUG"
RT,#texas,Thatssofranny,81,564,1,6830,kikisheart23,276,234,0,11749,"RT @kikisheart23: If you can help us $carrie2331 
I'm sorry to even ask!!! #texas #FortWorth"
Tweet,#texas,LancePinnick,1,2,0,6,LancePinnick,276,234,0,11749,"Fiist ever short film out tomorrow link below! #shortfilm #texas #texasfreeze

https://t.co/TjOjm2bFXp"
RT,#texas,MagalyAyalaTv,593,1137,15,3468,ShakariSBriggs,4769,3903,84,97211,"RT @ShakariSBriggs: MORE: Here’s a letter from the four ERCOT board members who will resign after the company’s meeting tomorrow. 

In the…"
RT,#texas,silverkait,2855,2790,96,249901,KenPaxtonTX,118408,1427,879,7524,"RT @KenPaxtonTX: This past week Texas saw some of the coldest temperatures and many, if not most, went without critical supplies. Angela an…"
